SOR-001	פנימית א'	סורוקה	רפואה פנימית	40		TRUE
SOR-002	פנימית ב'	סורוקה	רפואה פנימית	38		TRUE
SOR-003	פנימית ג'	סורוקה	רפואה פנימית	36		TRUE
SOR-004	פנימית ד'	סורוקה	רפואה פנימית	35		TRUE
SOR-005	פנימית ה'	סורוקה	רפואה פנימית	34		TRUE
SOR-006	פנימית ו'	סורוקה	רפואה פנימית	32		TRUE
SOR-007	כירורגית א'	סורוקה	כירורגיה	36		TRUE
SOR-008	כירורגית ב'	סורוקה	כירורגיה	34		TRUE
SOR-009	כירורגית ג'	סורוקה	כירורגיה	32		TRUE
SOR-010	אורתופדיה	סורוקה	כירורגיה	40		TRUE
SOR-011	נוירוכירורגיה	סורוקה	כירורגיה	30		TRUE
SOR-012	כירורגיה פלסטית	סורוקה	כירורגיה	20		TRUE
SOR-013	כירורגיית חזה	סורוקה	כירורגיה	24		TRUE
SOR-014	כירורגיית כלי דם	סורוקה	כירורגיה	22		TRUE
SOR-015	ילדים א'	סורוקה	ילדים	30		TRUE
SOR-016	ילדים ב'	סורוקה	ילדים	28		TRUE
SOR-017	ילדים ג'	סורוקה	ילדים	26		TRUE
SOR-018	כירורגיית ילדים	סורוקה	ילדים	22		TRUE
SOR-019	המטו-אונקולוגיה ילדים	סורוקה	אונקולוגיה	20		TRUE
SOR-020	יולדות א'	סורוקה	נשים ויולדות	30		TRUE
SOR-021	יולדות ב'	סורוקה	נשים ויולדות	28		TRUE
SOR-022	יולדות ג'	סורוקה	נשים ויולדות	26		TRUE
SOR-023	יולדות ד'	סורוקה	נשים ויולדות	24		TRUE
SOR-024	יולדות ה'	סורוקה	נשים ויולדות	22		TRUE
SOR-025	נשים	סורוקה	נשים ויולדות	28		TRUE
SOR-026	טיפול נמרץ כללי	סורוקה	טיפול נמרץ	20		TRUE
SOR-027	טיפול נמרץ ילדים	סורוקה	טיפול נמרץ	14		TRUE
SOR-028	טיפול נמרץ יילודים	סורוקה	טיפול נמרץ	40		TRUE
SOR-029	יחידת כוויות	סורוקה	טיפול נמרץ	10		TRUE
SOR-030	אונקולוגיה	סורוקה	אונקולוגיה	40		TRUE
SOR-031	המטולוגיה	סורוקה	אונקולוגיה	28		TRUE
SOR-032	קרדיולוגיה	סורוקה	לב	36		TRUE
SOR-033	נוירולוגיה	סורוקה	נוירולוגיה	32		TRUE
SOR-034	נפרולוגיה	סורוקה	רפואה פנימית	24		TRUE
SOR-035	אף אוזן גרון	סורוקה	כירורגיה	24		TRUE
SOR-036	עיניים	סורוקה	כירורגיה	18		TRUE
SOR-037	אורולוגיה	סורוקה	כירורגיה	28		TRUE
SOR-038	שיקום	סורוקה	שיקום	30		TRUE
SOR-039	מחלות זיהומיות	סורוקה	רפואה פנימית	24		TRUE
SOR-040	גסטרואנטרולוגיה	סורוקה	רפואה פנימית	20		TRUE
SOR-041	אנדוקרינולוגיה	סורוקה	רפואה פנימית	16		TRUE
SOR-042	מיון כללי	סורוקה	רפואה דחופה	30		TRUE
SOR-043	מיון ילדים	סורוקה	רפואה דחופה	16		TRUE
SOR-044	מיון נשים	סורוקה	רפואה דחופה	12		TRUE
SOR-045	הפרעות אכילה	סורוקה	בריאות הנפש	14		TRUE
SOR-046	אשפוז יום	סורוקה	שירותי תמיכה	20		TRUE
RBB-001	פנימית א'	רבין - בילינסון	רפואה פנימית	36		TRUE
RBB-002	פנימית ב'	רבין - בילינסון	רפואה פנימית	34		TRUE
RBB-003	פנימית ג'	רבין - בילינסון	רפואה פנימית	32		TRUE
RBB-004	פנימית ד'	רבין - בילינסון	רפואה פנימית	30		TRUE
RBB-005	כירורגיה כללית א'	רבין - בילינסון	כירורגיה	34		TRUE
RBB-006	כירורגיה כללית ב'	רבין - בילינסון	כירורגיה	32		TRUE
RBB-007	אורתופדיה	רבין - בילינסון	כירורגיה	36		TRUE
RBB-008	נוירוכירורגיה	רבין - בילינסון	כירורגיה	28		TRUE
RBB-009	ניתוחי לב וחזה	רבין - בילינסון	כירורגיה	26		TRUE
RBB-010	ניתוחי כלי דם	רבין - בילינסון	כירורגיה	22		TRUE
RBB-011	כירורגיה של היד	רבין - בילינסון	כירורגיה	14		TRUE
RBB-012	אורולוגיה	רבין - בילינסון	כירורגיה	28		TRUE
RBB-013	אף-אוזן-גרון	רבין - בילינסון	כירורגיה	22		TRUE
RBB-014	יולדות א'	רבין - בילינסון	נשים ויולדות	28		TRUE
RBB-015	יולדות ב'	רבין - בילינסון	נשים ויולדות	26		TRUE
RBB-016	יולדות ג'	רבין - בילינסון	נשים ויולדות	24		TRUE
RBB-017	נשים	רבין - בילינסון	נשים ויולדות	28		TRUE
RBB-018	טיפול נמרץ כללי	רבין - בילינסון	טיפול נמרץ	24		TRUE
RBB-019	יילודים	רבין - בילינסון	טיפול נמרץ	36		TRUE
RBB-020	אונקולוגיה (דוידוף)	רבין - בילינסון	אונקולוגיה	60		TRUE
RBB-021	המטולוגיה	רבין - בילינסון	אונקולוגיה	32		TRUE
RBB-022	קרדיולוגיה	רבין - בילינסון	לב	36		TRUE
RBB-023	נוירולוגיה	רבין - בילינסון	נוירולוגיה	30		TRUE
RBB-024	נפרולוגיה	רבין - בילינסון	רפואה פנימית	24		TRUE
RBB-025	ריאות	רבין - בילינסון	רפואה פנימית	24		TRUE
RBB-026	גסטרואנטרולוגיה	רבין - בילינסון	רפואה פנימית	22		TRUE
RBB-027	אנדוקרינולוגיה וסוכרת	רבין - בילינסון	רפואה פנימית	18		TRUE
RBB-028	מחלקת השתלות	רבין - בילינסון	כירורגיה	20		TRUE
RBB-029	גריאטריה אקוטית	רבין - בילינסון	רפואה פנימית	28		TRUE
RBB-030	מחלות זיהומיות	רבין - בילינסון	רפואה פנימית	20		TRUE
RBB-031	טראומה	רבין - בילינסון	רפואה דחופה	20		TRUE
RBB-032	מיון	רבין - בילינסון	רפואה דחופה	30		TRUE
RBG-001	פנימית ב'	רבין - גולדה השרון	רפואה פנימית	30		TRUE
RBG-002	פנימית ג'	רבין - גולדה השרון	רפואה פנימית	28		TRUE
RBG-003	פנימית ד'	רבין - גולדה השרון	רפואה פנימית	26		TRUE
RBG-004	כירורגיה כללית א'	רבין - גולדה השרון	כירורגיה	30		TRUE
RBG-005	כירורגיה כללית ב'	רבין - גולדה השרון	כירורגיה	28		TRUE
RBG-006	אורתופדיה	רבין - גולדה השרון	כירורגיה	32		TRUE
RBG-007	אורולוגיה	רבין - גולדה השרון	כירורגיה	22		TRUE
RBG-008	אף-אוזן-גרון	רבין - גולדה השרון	כירורגיה	18		TRUE
RBG-009	עיניים	רבין - גולדה השרון	כירורגיה	16		TRUE
RBG-010	טיפול נמרץ כללי	רבין - גולדה השרון	טיפול נמרץ	12		TRUE
RBG-011	קרדיולוגיה	רבין - גולדה השרון	לב	28		TRUE
RBG-012	נוירולוגיה	רבין - גולדה השרון	נוירולוגיה	22		TRUE
RBG-013	נפרולוגיה	רבין - גולדה השרון	רפואה פנימית	18		TRUE
RBG-014	ריאות	רבין - גולדה השרון	רפואה פנימית	20		TRUE
RBG-015	גסטרואנטרולוגיה	רבין - גולדה השרון	רפואה פנימית	16		TRUE
RBG-016	כירורגיית כלי דם	רבין - גולדה השרון	כירורגיה	14		TRUE
RBG-017	מיון ואשפוז יום	רבין - גולדה השרון	רפואה דחופה	20		TRUE
SCH-001	ילדים א'	שניידר	ילדים	28		TRUE
SCH-002	ילדים ב'	שניידר	ילדים	26		TRUE
SCH-003	ילדים ג'	שניידר	ילדים	24		TRUE
SCH-004	כירורגיית ילדים	שניידר	ילדים	22		TRUE
SCH-005	טיפול נמרץ	שניידר	טיפול נמרץ	16		TRUE
SCH-006	פגים ויילודים	שניידר	טיפול נמרץ	30		TRUE
SCH-007	אונקולוגיה	שניידר	אונקולוגיה	22		TRUE
SCH-008	המטולוגיה	שניידר	אונקולוגיה	20		TRUE
SCH-009	מכון הלב	שניידר	לב	18		TRUE
SCH-010	נוירולוגיה	שניידר	נוירולוגיה	14		TRUE
